@timestamp,Domain,SourceIP,SrcPort,DstIP,DstPort
2026-02-09T06:46:31.205453479Z,dc.crsorgi.gov.in.imgpdf.top.,192.168.0.184,63016,172.64.152.233,443
2026-02-09T09:52:00.502861924Z,dc.crsorgi.gov.in.web.index.php.aothi.info.,192.168.0.184,61593,172.64.152.233,443
2026-02-09T09:52:00.568520845Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,61511,104.18.35.23,443
2026-02-09T09:52:00.788582025Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,62755,172.64.152.233,443
2026-02-09T09:52:00.572091801Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,61582,104.18.35.23,443
2026-02-09T09:52:00.501695735Z,dc.crsorgi.gov.in.web.index.php.aothi.info.,192.168.0.184,62878,104.18.35.23,443
2026-02-09T06:46:31.205727205Z,maharashtra.gov.in.studentemarks.in.,192.168.0.184,63023,104.18.35.23,443
2026-02-09T09:52:00.565303121Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,61450,13.225.103.69,443
2026-02-09T09:52:00.565286468Z,dc.crsorgi.gov.in.web.index.php.aothi.info.,192.168.0.184,61449,13.225.103.17,443
2026-02-09T09:52:00.826857200Z,dc.crsorgi.gov.in.web.index.php.aothi.info.,192.168.0.184,62554,216.58.200.170,443
2026-02-09T09:52:00.506900614Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,61649,104.18.35.23,443
2026-02-09T09:52:00.508347802Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,61678,104.18.35.23,443
2026-02-09T06:46:31.205765838Z,maharashtra.gov.in.studentemarks.in.,192.168.0.184,63024,172.64.152.233,443
2026-02-09T09:52:00.502465285Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,62885,172.64.152.233,443
2026-02-09T09:52:00.565317769Z,dc.crsorgi.gov.in.web.index.php.aothi.info.,192.168.0.184,61451,13.225.103.49,443
2026-02-09T09:52:00.829688502Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,62630,172.64.152.233,443
2026-02-09T09:52:00.565175216Z,dc.crsorgi.gov.in.web.index.php.aothi.info.,192.168.0.184,61440,104.18.35.23,443
2026-02-09T09:52:00.567397956Z,dc.crsorgi.gov.in.web.index.php.aothi.info.,192.168.0.184,61462,104.18.35.23,443
2026-02-09T06:46:31.205843366Z,maharashtra.gov.in.studentemarks.in.,192.168.0.184,63026,172.64.152.233,443
2026-02-09T09:52:00.502544952Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,62889,172.64.152.233,443
2026-02-09T09:52:00.496702979Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,62811,172.64.152.233,443
2026-02-09T09:52:00.832111747Z,dc.crsorgi.gov.in.web.index.php.aothi.info.,192.168.0.184,62673,104.18.35.23,443
2026-02-09T09:52:00.502234354Z,dc.crsorgi.gov.in.web.index.php.aothi.info.,192.168.0.184,63358,108.158.245.13,443
2026-02-09T09:52:00.507936305Z,dc.crsorgi.gov.in.web.index.php.aothi.info.,192.168.0.184,61657,104.18.35.23,443
2026-02-09T06:46:31.206195179Z,dc.crsorgi.gov.in.web.index.dobviwe.in.,192.168.0.184,62843,104.18.35.23,443
2026-02-09T09:52:00.508217067Z,dc.crsorgi.gov.in.web.index.php.aothi.info.,192.168.0.184,61671,172.64.152.233,443
2026-02-09T09:52:00.502961956Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,61597,18.164.242.10,443
2026-02-09T09:52:00.827657428Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,62584,172.64.152.233,443
2026-02-09T09:52:00.507983356Z,dc.crsorgi.gov.in.web.index.php.aothi.info.,192.168.0.184,61659,172.64.152.233,443
2026-02-09T09:52:00.562005684Z,dc.crsorgi.gov.in.crsmitra.xyz.,192.168.0.184,63367,104.18.35.23,443
2026-02-09T06:46:31.206278651Z,dc.crsorgi.gov.in.lndex.in.,192.168.0.184,63036,104.18.35.23,443
2026-02-09T09:52:00.508242723Z,dc.crsorgi.gov.in.web.index.php.aothi.info.,192.168.0.184,62916,104.18.35.23,443
2026-02-09T09:52:00.502995440Z,dc.crsorgi.gov.in.web.index.php.aothi.info.,192.168.0.184,61602,104.18.35.23,443
