@timestamp,SourceIP,SrcPort,DstIP,DstPort,Protocol,tcpFlagsSequence,tcpSynTotalCount,tcpRstTotalCount,tcpPshTotalCount,tcpAckTotalCount,tcpUrgTotalCount,Duration
2026-02-10T06:22:52.703858069Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-09T08:53:43.025273826Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T05:43:12.356835498Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T05:43:12.356302331Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:22:52.779087970Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-09T08:53:43.019103998Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-09T08:53:28.129332822Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T05:43:11.372636780Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:22:52.703908618Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-09T08:53:43.017955380Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T05:43:12.356879444Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:22:52.703544521Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:22:52.779058330Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-09T08:53:43.026887350Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:22:52.703939300Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:22:52.780413476Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:23:12.834872847Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-09T08:53:43.025403649Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:22:52.706942970Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:23:12.837261183Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:45:03.151654150Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-09T08:53:43.017879652Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:22:52.707197825Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:22:52.707411496Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:23:12.836953454Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T07:22:01.715148425Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:45:03.151904266Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:45:03.160336033Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:23:12.834624441Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T07:22:01.713231781Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:22:52.778987857Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:23:12.836877307Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T07:22:01.715070667Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-09T08:53:43.017779928Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:45:03.151578643Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:23:12.835162071Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:23:12.835091542Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T07:22:01.713327644Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:23:12.837190714Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:44:33.486678146Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T07:22:01.713417070Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:45:03.160512392Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:23:12.837329711Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:23:15.314259542Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:44:46.936868689Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:44:46.936542628Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
